ip,country,city,longitude,latitude
47.252.192.4,Australia,Melbourne,144.96316528320312,-37.81425094604492
208.5.89.155,United States,San Jose,-121.83822631835938,37.330528259277344
40.135.116.69,United States,Evans,-82.22074127197266,33.461570739746094
35.59.188.198,United States,Chicago,-87.67124938964844,41.84885025024414
25.144.8.142,None,None,None,None
117.83.56.141,China,Nanjing,118.78417205810547,32.04582977294922
1.24.133.90,China,Hohhot,111.62370300292969,40.80860137939453
98.44.207.248,United States,Marietta,-84.55000305175781,33.95249938964844
95.253.208.9,Italy,Milan,9.192000389099121,45.47200012207031
85.88.129.19,Portugal,Alfragide,-9.192779541015625,38.72222137451172
47.245.85.95,United States,San Mateo,-122.32969665527344,37.539791107177734
5.83.63.241,Finland,Turku,22.17399024963379,60.43177032470703
108.206.235.181,United States,Santa Clara,-121.95082092285156,37.351478576660156
112.15.240.11,China,Hangzhou,120.15888977050781,30.235559463500977
188.202.170.161,Netherlands,Diemen,4.940189838409424,52.309051513671875
93.223.243.53,Germany,Braunschweig,10.526379585266113,52.26414108276367
2.46.239.246,Italy,Acilia-Castel Fusano-Ostia Antica,12.306300163269043,41.7755012512207
67.63.240.14,United States,Chattanooga,-85.28942108154297,35.00395965576172
93.215.117.86,Germany,Schwelm,7.1508002281188965,51.25619888305664
120.137.149.87,Japan,Fuji,138.65599060058594,35.19150161743164
111.245.88.140,Taiwan,Taipei,121.56800079345703,25.034000396728516
109.223.245.81,France,Bordeaux,-0.5761399865150452,44.837371826171875
205.220.201.146,Canada,Leamington,-82.73178100585938,42.04085159301758
250.161.22.103,None,None,None,None
46.238.234.165,Poland,Bydgoszcz,18.038190841674805,53.13018035888672
217.144.11.178,Jordan,Amman,35.93000030517578,31.963329315185547
46.224.5.92,Iran,Gorgān,54.438331604003906,36.84471893310547
87.112.4.73,United Kingdom,Leighton Buzzard,-0.6425099968910217,51.90769958496094
217.149.93.216,Italy,Conegliano,12.359999656677246,45.88750076293945
18.40.140.194,United States,Cambridge,-71.1011962890625,42.36439895629883
92.194.43.191,Germany,Frankfurt am Main,8.682100296020508,50.11090087890625
71.117.95.253,United States,Los Angeles,-118.24163818359375,34.04563903808594
35.59.185.149,United States,Hamtramck,-83.10794830322266,42.3750114440918
195.60.198.105,United Kingdom,City of Westminster,-0.08556000143289566,51.45777893066406
198.101.90.175,United States,Los Angeles,-118.25531005859375,34.052459716796875
82.39.113.20,United Kingdom,Huyton,-2.84306001663208,53.4394416809082
104.139.180.64,United States,San Jose,-121.83822631835938,37.330528259277344
44.207.245.81,United States,Ashburn,-77.47419738769531,39.043701171875
139.189.208.15,China,Wanning,110.39700317382812,18.849000930786133
24.139.176.0,Puerto Rico,Candelaria,-66.24861907958984,18.278200149536133
176.0.5.82,Germany,Munich,11.516900062561035,48.1776008605957
46.234.170.171,Czechia,Trutnov,15.90565013885498,50.645240783691406
121.149.92.193,South Korea,Mokpo,126.38450622558594,34.78683090209961
